ride_id,started_at,ended_at,rideable_type,start_station_id,start_station_name,end_station_id,end_station_name,member_casual,date,month,day,year,day_of_week,ride_length
22178529,4/1/2019 0:02,4/1/2019 0:09,6251,81,Daley Center Plaza,56,Desplaines St & Kinzie St,member,4/1/2019,4,1,2019,Monday,446
22178530,4/1/2019 0:03,4/1/2019 0:20,6226,317,Wood St & Taylor St,59,Wabash Ave & Roosevelt Rd,member,4/1/2019,4,1,2019,Monday,1048
22178531,4/1/2019 0:11,4/1/2019 0:15,5649,283,LaSalle St & Jackson Blvd,174,Canal St & Madison St,member,4/1/2019,4,1,2019,Monday,252
22178532,4/1/2019 0:13,4/1/2019 0:18,4151,26,McClurg Ct & Illinois St,133,Kingsbury St & Kinzie St,member,4/1/2019,4,1,2019,Monday,357
22178533,4/1/2019 0:19,4/1/2019 0:36,3270,202,Halsted St & 18th St,129,Blue Island Ave & 18th St,member,4/1/2019,4,1,2019,Monday,1007
22178534,4/1/2019 0:19,4/1/2019 0:23,3123,420,Ellis Ave & 55th St,426,Ellis Ave & 60th St,member,4/1/2019,4,1,2019,Monday,257
22178535,4/1/2019 0:26,4/1/2019 0:35,6418,503,Drake Ave & Fullerton Ave,500,Central Park Ave & Elbridge Ave,member,4/1/2019,4,1,2019,Monday,548
22178536,4/1/2019 0:29,4/1/2019 0:36,4513,260,Kedzie Ave & Milwaukee Ave,499,Kosciuszko Park,member,4/1/2019,4,1,2019,Monday,383
22178537,4/1/2019 0:32,4/1/2019 1:07,3280,211,St. Clair St & Erie St,211,St. Clair St & Erie St,casual,4/1/2019,4,1,2019,Monday,2137
22178538,4/1/2019 0:32,4/1/2019 1:07,5534,211,St. Clair St & Erie St,211,St. Clair St & Erie St,casual,4/1/2019,4,1,2019,Monday,2120
22178539,4/1/2019 0:36,4/1/2019 0:41,4666,304,Broadway & Waveland Ave,232,Pine Grove Ave & Waveland Ave,member,4/1/2019,4,1,2019,Monday,297
22178540,4/1/2019 0:58,4/1/2019 1:04,3735,37,Dearborn St & Adams St,337,Clark St & Chicago Ave,member,4/1/2019,4,1,2019,Monday,365
22178541,4/1/2019 1:09,4/1/2019 1:12,6108,75,Canal St & Jackson Blvd,36,Franklin St & Jackson Blvd,member,4/1/2019,4,1,2019,Monday,165
22178542,4/1/2019 1:13,4/1/2019 1:20,6157,334,Lake Shore Dr & Belmont Ave,256,Broadway & Sheridan Rd,member,4/1/2019,4,1,2019,Monday,443
